Ticker,AAPL,AMZN,BAC,GOOG,JPM,META,MSFT,NVDA,TSLA,V
AAPL,1.0,0.48527841277474676,0.39213609431387475,0.5578592222863027,0.4064433457507291,0.4378049471181761,0.5934926614258149,0.5018897978554393,0.35807795738587755,0.489751154051439
AMZN,0.48527841277474676,1.0,0.3176854478083812,0.6012363542409763,0.3158672664998051,0.49990659391490927,0.5650372988896262,0.4632816649911748,0.35265041105441614,0.4385398918854534
BAC,0.39213609431387475,0.3176854478083812,1.0,0.4123853900555254,0.8584758563275994,0.29043359296916854,0.43093608984664883,0.37290938507682186,0.2553714784199766,0.5056071056229885
GOOG,0.5578592222863027,0.6012363542409763,0.4123853900555254,1.0,0.4244114513631539,0.5470386483223768,0.6412155273382516,0.5093471513650584,0.3340064853878325,0.5230849099797534
JPM,0.4064433457507291,0.3158672664998051,0.8584758563275994,0.4244114513631539,1.0,0.2912020791765002,0.4625003326976917,0.37898367325415355,0.25538586626116927,0.5367094496294256
META,0.4378049471181761,0.49990659391490927,0.29043359296916854,0.5470386483223768,0.2912020791765002,1.0,0.46754405486783984,0.42178620801838873,0.28820403032698966,0.4090471976638157
MSFT,0.5934926614258149,0.5650372988896262,0.43093608984664883,0.6412155273382516,0.4625003326976917,0.46754405486783984,1.0,0.5705011175293957,0.3515456533529363,0.5456655670661386
NVDA,0.5018897978554393,0.4632816649911748,0.37290938507682186,0.5093471513650584,0.37898367325415355,0.42178620801838873,0.5705011175293957,1.0,0.37210322360055886,0.46344990304058087
TSLA,0.35807795738587755,0.35265041105441614,0.2553714784199766,0.3340064853878325,0.25538586626116927,0.28820403032698966,0.3515456533529363,0.37210322360055886,1.0,0.29381405810887806
V,0.489751154051439,0.4385398918854534,0.5056071056229885,0.5230849099797534,0.5367094496294256,0.4090471976638157,0.5456655670661386,0.46344990304058087,0.29381405810887806,1.0
